region,building_type,% of Total Count of all_v2.csv
Челябинск,Монолитные,"5,02%"
Тюмень,Монолитные,"17,71%"
Томск,Монолитные,"7,30%"
Новосибирск,Монолитные,"3,36%"
Красноярск,Монолитные,"9,02%"
Кемерово,Монолитные,"6,16%"
Барнаул,Монолитные,"5,00%"
Челябинск,Панельные,"62,41%"
Тюмень,Панельные,"27,26%"
Томск,Панельные,"36,05%"
Новосибирск,Панельные,"64,14%"
Красноярск,Панельные,"48,76%"
Кемерово,Панельные,"50,69%"
Барнаул,Панельные,"46,87%"
Челябинск,Кирпичные,"26,22%"
Тюмень,Кирпичные,"39,48%"
Томск,Кирпичные,"54,03%"
Новосибирск,Кирпичные,"22,96%"
Красноярск,Кирпичные,"26,97%"
Кемерово,Кирпичные,"39,14%"
Барнаул,Кирпичные,"43,68%"
Челябинск,Блочные,"3,43%"
Тюмень,Блочные,"1,06%"
Томск,Блочные,"1,06%"
Новосибирск,Блочные,"1,02%"
Красноярск,Блочные,"0,52%"
Кемерово,Блочные,"1,60%"
Барнаул,Блочные,"1,17%"
Челябинск,Деревянные,"0,15%"
Тюмень,Деревянные,"0,10%"
Томск,Деревянные,"1,01%"
Новосибирск,Деревянные,"0,12%"
Красноярск,Деревянные,"0,44%"
Кемерово,Деревянные,"0,44%"
Барнаул,Деревянные,"1,00%"
Челябинск,Прочие,"2,78%"
Тюмень,Прочие,"14,38%"
Томск,Прочие,"0,55%"
Новосибирск,Прочие,"8,40%"
Красноярск,Прочие,"14,30%"
Кемерово,Прочие,"1,97%"
Барнаул,Прочие,"2,28%"